country,coffee_type,year_raw,value,year
Togo,Robusta,1991/92,60000,1991
Trinidad & Tobago,Robusta,1991/92,690000,1991
Uganda,Robusta/Arabica,1991/92,4500000,1991
Venezuela,Arabica,1991/92,48928800,1991
Viet Nam,Robusta/Arabica,1991/92,13800000,1991
Yemen,Arabica,1991/92,0,1991
Angola,Robusta/Arabica,1992/93,2100000,1992
Bolivia (Plurinational State of),Arabica,1992/93,1650000,1992
Brazil,Arabica/Robusta,1992/93,534000000,1992
Burundi,Arabica/Robusta,1992/93,102000,1992
Ecuador,Arabica/Robusta,1992/93,21000000,1992
Indonesia,Robusta/Arabica,1992/93,79140000,1992
Madagascar,Robusta,1992/93,21000000,1992
Malawi,Arabica,1992/93,120000,1992
Papua New Guinea,Arabica/Robusta,1992/93,180000,1992
Paraguay,Arabica,1992/93,900000,1992
Peru,Arabica,1992/93,12000000,1992
Rwanda,Arabica,1992/93,60000,1992
Timor-Leste,Arabica,1992/93,0,1992
Zimbabwe,Arabica,1992/93,480000,1992
Congo,Robusta,1992/93,160020,1992
Cuba,Arabica,1992/93,11700000,1992
Dominican Republic,Arabica/Robusta,1992/93,19200000,1992
Haiti,Arabica,1992/93,19800000,1992
Philippines,Robusta/Arabica,1992/93,45000000,1992
Tanzania,Arabica/Robusta,1992/93,1152000,1992
Zambia,Arabica,1992/93,85920,1992
Cameroon,Robusta/Arabica,1992/93,4999980,1992
Central African Republic,Robusta,1992/93,1680000,1992
Colombia,Arabica,1992/93,78180000,1992
Costa Rica,Arabica,1992/93,22500000,1992
Côte d'Ivoire,Robusta,1992/93,3000000,1992
Democratic Republic of Congo,Robusta/Arabica,1992/93,12000000,1992
El Salvador,Arabica,1992/93,13800000,1992
Equatorial Guinea,Robusta,1992/93,0,1992
Ethiopia,Arabica,1992/93,79860000,1992
Gabon,Robusta,1992/93,48000,1992
Ghana,Robusta,1992/93,1020000,1992
Guatemala,Arabica/Robusta,1992/93,18000000,1992
Guinea,Robusta,1992/93,3750000,1992
Guyana,Robusta,1992/93,0,1992
Honduras,Arabica,1992/93,14400000,1992
India,Robusta/Arabica,1992/93,55020000,1992
Jamaica,Arabica,1992/93,360000,1992
Kenya,Arabica,1992/93,3000000,1992
Lao People's Democratic Republic,Robusta,1992/93,0,1992
Liberia,Robusta,1992/93,180000,1992
Mexico,Arabica/Robusta,1992/93,78000000,1992
Nepal,Arabica,1992/93,0,1992
Nicaragua,Arabica,1992/93,3936000,1992
Nigeria,Robusta,1992/93,2145000,1992
Panama,Arabica,1992/93,4020000,1992
Sierra Leone,Robusta,1992/93,540000,1992
Sri Lanka,Robusta/Arabica,1992/93,1680000,1992
Thailand,Robusta/Arabica,1992/93,13980000,1992
Togo,Robusta,1992/93,60000,1992
Trinidad & Tobago,Robusta,1992/93,600000,1992
Uganda,Robusta/Arabica,1992/93,4500000,1992
Venezuela,Arabica,1992/93,50998200,1992
Viet Nam,Robusta/Arabica,1992/93,15000000,1992
Yemen,Arabica,1992/93,0,1992
Angola,Robusta/Arabica,1993/94,1200000,1993
Bolivia (Plurinational State of),Arabica,1993/94,1710000,1993
Brazil,Arabica/Robusta,1993/94,546000000,1993
Burundi,Arabica/Robusta,1993/94,114600,1993
Ecuador,Arabica/Robusta,1993/94,21000000,1993
Indonesia,Robusta/Arabica,1993/94,81540000,1993
Madagascar,Robusta,1993/94,21600000,1993
Malawi,Arabica,1993/94,120000,1993
Papua New Guinea,Arabica/Robusta,1993/94,120000,1993
Paraguay,Arabica,1993/94,1200000,1993
Peru,Arabica,1993/94,12000000,1993
Rwanda,Arabica,1993/94,60000,1993
Timor-Leste,Arabica,1993/94,0,1993
Zimbabwe,Arabica,1993/94,499980,1993
Congo,Robusta,1993/94,180000,1993
Cuba,Arabica,1993/94,11646000,1993
Dominican Republic,Arabica/Robusta,1993/94,19200000,1993
Haiti,Arabica,1993/94,19800000,1993
Philippines,Robusta/Arabica,1993/94,46200000,1993
Tanzania,Arabica/Robusta,1993/94,1050000,1993
Zambia,Arabica,1993/94,60000,1993
Cameroon,Robusta/Arabica,1993/94,6000000,1993
Central African Republic,Robusta,1993/94,1500000,1993
Colombia,Arabica,1993/94,80340000,1993
Costa Rica,Arabica,1993/94,22500000,1993
Côte d'Ivoire,Robusta,1993/94,3000000,1993
Democratic Republic of Congo,Robusta/Arabica,1993/94,12000000,1993
El Salvador,Arabica,1993/94,13800000,1993
Equatorial Guinea,Robusta,1993/94,0,1993
Ethiopia,Arabica,1993/94,84120000,1993
Gabon,Robusta,1993/94,48000,1993
Ghana,Robusta,1993/94,1020000,1993
Guatemala,Arabica/Robusta,1993/94,18600000,1993
Guinea,Robusta,1993/94,1980000,1993
Guyana,Robusta,1993/94,0,1993
Honduras,Arabica,1993/94,13800000,1993
India,Robusta/Arabica,1993/94,49999980,1993
Jamaica,Arabica,1993/94,576000,1993
Kenya,Arabica,1993/94,3000000,1993
Lao People's Democratic Republic,Robusta,1993/94,0,1993
Liberia,Robusta,1993/94,300000,1993
Mexico,Arabica/Robusta,1993/94,64200000,1993
Nepal,Arabica,1993/94,0,1993
Nicaragua,Arabica,1993/94,6534000,1993
Nigeria,Robusta,1993/94,2400000,1993
Panama,Arabica,1993/94,4020000,1993
Sierra Leone,Robusta,1993/94,300000,1993
Sri Lanka,Robusta/Arabica,1993/94,1200000,1993
Thailand,Robusta/Arabica,1993/94,15000000,1993
Togo,Robusta,1993/94,60000,1993
Trinidad & Tobago,Robusta,1993/94,600000,1993
Uganda,Robusta/Arabica,1993/94,4500000,1993
Venezuela,Arabica,1993/94,53155800,1993
Viet Nam,Robusta/Arabica,1993/94,16020000,1993
Yemen,Arabica,1993/94,0,1993
Angola,Robusta/Arabica,1994/95,1500000,1994
Bolivia (Plurinational State of),Arabica,1994/95,1770000,1994
Brazil,Arabica/Robusta,1994/95,558000000,1994
Burundi,Arabica/Robusta,1994/95,120000,1994
Ecuador,Arabica/Robusta,1994/95,21000000,1994
Indonesia,Robusta/Arabica,1994/95,84000000,1994
Madagascar,Robusta,1994/95,9999960,1994
Malawi,Arabica,1994/95,120000,1994
Papua New Guinea,Arabica/Robusta,1994/95,120000,1994
Paraguay,Arabica,1994/95,1200000,1994
Peru,Arabica,1994/95,12000000,1994
Rwanda,Arabica,1994/95,60000,1994
Timor-Leste,Arabica,1994/95,0,1994
Zimbabwe,Arabica,1994/95,499980,1994
Congo,Robusta,1994/95,180000,1994
Cuba,Arabica,1994/95,11640000,1994
Dominican Republic,Arabica/Robusta,1994/95,19800000,1994
Haiti,Arabica,1994/95,19800000,1994
Philippines,Robusta/Arabica,1994/95,47400000,1994
Tanzania,Arabica/Robusta,1994/95,1050000,1994
Zambia,Arabica,1994/95,90000,1994
Cameroon,Robusta/Arabica,1994/95,6000000,1994
Central African Republic,Robusta,1994/95,900000,1994
Colombia,Arabica,1994/95,82500000,1994
Costa Rica,Arabica,1994/95,22500000,1994
Côte d'Ivoire,Robusta,1994/95,3000000,1994
Democratic Republic of Congo,Robusta/Arabica,1994/95,12000000,1994
El Salvador,Arabica,1994/95,13800000,1994
Equatorial Guinea,Robusta,1994/95,0,1994
Ethiopia,Arabica,1994/95,88560000,1994
Gabon,Robusta,1994/95,60000,1994
Ghana,Robusta,1994/95,1680000,1994
Guatemala,Arabica/Robusta,1994/95,18600000,1994
Guinea,Robusta,1994/95,3000000,1994
Guyana,Robusta,1994/95,0,1994
Honduras,Arabica,1994/95,15180000,1994
India,Robusta/Arabica,1994/95,50100000,1994
Jamaica,Arabica,1994/95,900000,1994
Kenya,Arabica,1994/95,3000000,1994
Lao People's Democratic Republic,Robusta,1994/95,0,1994
Liberia,Robusta,1994/95,300000,1994
Mexico,Arabica/Robusta,1994/95,61200000,1994
Nepal,Arabica,1994/95,0,1994
Nicaragua,Arabica,1994/95,5376000,1994
Nigeria,Robusta,1994/95,2400000,1994
Panama,Arabica,1994/95,4600020,1994
Sierra Leone,Robusta,1994/95,300000,1994
Sri Lanka,Robusta/Arabica,1994/95,1200000,1994
Thailand,Robusta/Arabica,1994/95,16980000,1994
Togo,Robusta,1994/95,60000,1994
Trinidad & Tobago,Robusta,1994/95,840000,1994
Uganda,Robusta/Arabica,1994/95,4800000,1994
Venezuela,Arabica,1994/95,55404000,1994
Viet Nam,Robusta/Arabica,1994/95,16020000,1994
Yemen,Arabica,1994/95,0,1994
Angola,Robusta/Arabica,1995/96,600000,1995
Bolivia (Plurinational State of),Arabica,1995/96,1830000,1995
Brazil,Arabica/Robusta,1995/96,606000000,1995
Burundi,Arabica/Robusta,1995/96,120000,1995
Ecuador,Arabica/Robusta,1995/96,21000000,1995
Indonesia,Robusta/Arabica,1995/96,86580000,1995
Madagascar,Robusta,1995/96,10020000,1995
Malawi,Arabica,1995/96,120000,1995
Papua New Guinea,Arabica/Robusta,1995/96,120000,1995
Paraguay,Arabica,1995/96,1200000,1995
Peru,Arabica,1995/96,12000000,1995
Rwanda,Arabica,1995/96,60000,1995
Timor-Leste,Arabica,1995/96,0,1995
