country,coffee_type,year_raw,value,year
Zimbabwe,Arabica,1995/96,396000,1995
Congo,Robusta,1995/96,180000,1995
Cuba,Arabica,1995/96,11640000,1995
Dominican Republic,Arabica/Robusta,1995/96,21000000,1995
Haiti,Arabica,1995/96,19800000,1995
Philippines,Robusta/Arabica,1995/96,48600000,1995
Tanzania,Arabica/Robusta,1995/96,816000,1995
Zambia,Arabica,1995/96,36000,1995
Cameroon,Robusta/Arabica,1995/96,6000000,1995
Central African Republic,Robusta,1995/96,600000,1995
Colombia,Arabica,1995/96,81540000,1995
Costa Rica,Arabica,1995/96,22500000,1995
Côte d'Ivoire,Robusta,1995/96,3000000,1995
Democratic Republic of Congo,Robusta/Arabica,1995/96,12000000,1995
El Salvador,Arabica,1995/96,16200000,1995
Equatorial Guinea,Robusta,1995/96,0,1995
Ethiopia,Arabica,1995/96,93300000,1995
Gabon,Robusta,1995/96,48000,1995
Ghana,Robusta,1995/96,1680000,1995
Guatemala,Arabica/Robusta,1995/96,18600000,1995
Guinea,Robusta,1995/96,3000000,1995
Guyana,Robusta,1995/96,0,1995
Honduras,Arabica,1995/96,9660000,1995
India,Robusta/Arabica,1995/96,50220000,1995
Jamaica,Arabica,1995/96,900000,1995
Kenya,Arabica,1995/96,3000000,1995
Lao People's Democratic Republic,Robusta,1995/96,0,1995
Liberia,Robusta,1995/96,300000,1995
Mexico,Arabica/Robusta,1995/96,70740000,1995
Nepal,Arabica,1995/96,0,1995
Nicaragua,Arabica,1995/96,6690000,1995
Nigeria,Robusta,1995/96,2400000,1995
Panama,Arabica,1995/96,4600020,1995
Sierra Leone,Robusta,1995/96,480000,1995
Sri Lanka,Robusta/Arabica,1995/96,1200000,1995
Thailand,Robusta/Arabica,1995/96,25020000,1995
Togo,Robusta,1995/96,60000,1995
Trinidad & Tobago,Robusta,1995/96,840000,1995
Uganda,Robusta/Arabica,1995/96,4800000,1995
Venezuela,Arabica,1995/96,57747600,1995
Viet Nam,Robusta/Arabica,1995/96,16910700,1995
Yemen,Arabica,1995/96,0,1995
Angola,Robusta/Arabica,1996/97,1200000,1996
Bolivia (Plurinational State of),Arabica,1996/97,1890000,1996
Brazil,Arabica/Robusta,1996/97,660000000,1996
Burundi,Arabica/Robusta,1996/97,120000,1996
Ecuador,Arabica/Robusta,1996/97,18000000,1996
Indonesia,Robusta/Arabica,1996/97,89160000,1996
Madagascar,Robusta,1996/97,10020000,1996
Malawi,Arabica,1996/97,120000,1996
Papua New Guinea,Arabica/Robusta,1996/97,120000,1996
Paraguay,Arabica,1996/97,1200000,1996
Peru,Arabica,1996/97,12000000,1996
Rwanda,Arabica,1996/97,60000,1996
Timor-Leste,Arabica,1996/97,0,1996
Zimbabwe,Arabica,1996/97,240000,1996
Congo,Robusta,1996/97,180000,1996
Cuba,Arabica,1996/97,11340000,1996
Dominican Republic,Arabica/Robusta,1996/97,19500000,1996
Haiti,Arabica,1996/97,19800000,1996
Philippines,Robusta/Arabica,1996/97,49860000,1996
Tanzania,Arabica/Robusta,1996/97,996000,1996
Zambia,Arabica,1996/97,60000,1996
Cameroon,Robusta/Arabica,1996/97,6000000,1996
Central African Republic,Robusta,1996/97,600000,1996
Colombia,Arabica,1996/97,80580000,1996
Costa Rica,Arabica,1996/97,22500000,1996
Côte d'Ivoire,Robusta,1996/97,3000000,1996
Democratic Republic of Congo,Robusta/Arabica,1996/97,12000000,1996
El Salvador,Arabica,1996/97,13800000,1996
Equatorial Guinea,Robusta,1996/97,0,1996
Ethiopia,Arabica,1996/97,98220000,1996
Gabon,Robusta,1996/97,49980,1996
Ghana,Robusta,1996/97,180000,1996
Guatemala,Arabica/Robusta,1996/97,18000000,1996
Guinea,Robusta,1996/97,3000000,1996
Guyana,Robusta,1996/97,0,1996
Honduras,Arabica,1996/97,10075440,1996
India,Robusta/Arabica,1996/97,50280000,1996
Jamaica,Arabica,1996/97,1080000,1996
Kenya,Arabica,1996/97,3000000,1996
Lao People's Democratic Republic,Robusta,1996/97,0,1996
Liberia,Robusta,1996/97,300000,1996
Mexico,Arabica/Robusta,1996/97,74100000,1996
Nepal,Arabica,1996/97,0,1996
Nicaragua,Arabica,1996/97,5722200,1996
Nigeria,Robusta,1996/97,2400000,1996
Panama,Arabica,1996/97,4600020,1996
Sierra Leone,Robusta,1996/97,480000,1996
Sri Lanka,Robusta/Arabica,1996/97,1200000,1996
Thailand,Robusta/Arabica,1996/97,19980000,1996
Togo,Robusta,1996/97,60000,1996
Trinidad & Tobago,Robusta,1996/97,840000,1996
Uganda,Robusta/Arabica,1996/97,4800000,1996
Venezuela,Arabica,1996/97,60190800,1996
Viet Nam,Robusta/Arabica,1996/97,17850960,1996
